han0003.krn	5	[5, 5, 0, 5, 5, 5, 5, 0, 5, 5, 0, 5, 5, 10, 7, 5, 5, 5, 5, 5, 10, 10, 10, 10, 5, 5, 10, 0, 2, 0, 7, 10, 7, 5]
han0004.krn	6	[6, 6, 3, 3, 1, 11, 1, 6, 8, 6, 6, 3, 3, 1, 11, 11, 1, 6, 8, 6, 6, 8, 8, 6, 6, 8, 8, 6, 6, 3, 3, 1, 11, 11, 8, 6, 3, 1, 6, 6, 6, 6, 3, 3, 1, 6, 6, 1, 11, 8, 6, 8, 6, 3, 1]
han0005.krn	5	[7, 7, 7, 0, 10, 0, 2, 7, 7, 5, 5, 7, 7, 2, 7, 7, 7, 0, 10, 0, 2, 5, 5, 2, 0, 10, 2, 0, 10, 7]
han0006.krn	10	[3, 3, 5, 5, 10, 10, 5, 5, 7, 7, 5, 5, 3, 3, 0, 3, 3, 0, 10, 5, 3, 3, 3, 3, 5, 5, 7, 7, 5, 5, 3, 3, 0, 10, 3, 3, 0, 0, 10, 5]
han0007.krn	3	[3, 3, 3, 3, 5, 5, 8, 8, 3, 3, 8, 8, 5, 5, 3, 3, 0, 10, 8, 3, 3, 5, 8, 8, 8, 8, 5, 5, 3, 3, 3, 3, 8, 10, 3, 3, 0, 10, 8, 8, 10, 0, 0, 10, 3, 3, 0, 10, 8, 10, 10, 10, 5, 8, 5, 3]
han0010.krn	10	[3, 3, 0, 10, 3, 3, 5, 5, 7, 7, 7, 7, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 7, 7, 0, 10, 0, 3, 3, 5, 5, 5, 5, 0, 3, 3, 0, 10]
han0018.krn	8	[5, 5, 5, 5, 5, 5, 8, 8, 8, 5, 5, 5, 5, 5, 5, 1, 1, 10, 10, 5, 5, 5, 3, 3, 3, 5, 5, 5, 3, 3, 3, 1, 1, 10, 10, 1, 1, 3, 3, 3, 1, 1, 10, 10, 1, 1, 10, 10, 8, 8, 10, 10, 1, 1, 10, 10, 1, 1, 10, 10, 8, 8, 10, 10, 1, 1, 10, 10, 8, 8]
han0020.krn	8	[10, 10, 1, 1, 8, 8, 10, 10, 1, 1, 3, 3, 3, 1, 1, 10, 10, 8, 8, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 3, 3, 3, 1, 1, 10, 10, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 3, 3, 3, 1, 1, 10, 10, 1, 1, 3, 3, 3, 10, 10, 1, 1, 1, 1, 3, 3, 3, 10, 10, 1, 1, 3, 3, 3, 8, 8, 10, 10, 8, 8, 1, 1, 10, 10, 5, 5, 5, 1, 1, 3, 3, 3, 1, 1, 10, 10, 1, 1, 8, 8]
han0022.krn	8	[5, 5, 3, 3, 5, 5, 3, 3, 1, 10, 1, 8, 3, 3, 3, 3, 5, 5, 3, 3, 3, 3, 5, 5, 8, 8, 5, 5, 3, 3, 3, 3, 3, 3, 5, 5, 10, 10, 8, 8, 8, 8, 5, 5, 8, 8, 5, 5, 10, 1, 5, 5, 5, 5, 3, 3, 1, 10, 8, 10, 1, 8]
han0028.krn	3	[3, 3, 3, 3, 3, 3, 5, 5, 8, 8, 5, 5, 3, 3, 3, 3, 0, 10, 8, 10, 0, 10, 3, 3, 0, 3, 3, 3, 3, 5, 8, 10, 0, 8, 5, 3, 5, 3, 5, 8, 5, 8, 10, 0, 10, 3, 3, 0, 3, 3, 3, 3, 5, 8, 10, 0, 8, 5, 3]
han0030.krn	0	[2, 2, 5, 5, 2, 0, 9, 0, 9, 7, 9, 2, 2, 5, 5, 2, 0, 9, 9, 9, 9, 0, 2, 2, 0, 9, 9, 0, 2, 9, 0, 0, 9, 7, 5, 7, 9, 9, 0, 2, 2, 0, 9, 9, 0, 2, 9, 0, 0, 9, 7, 5, 7]
han0038.krn	0	[7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 2, 0, 2, 7, 7, 7, 7, 5, 5, 2, 7, 7, 2, 7, 7, 2, 0, 2, 2, 7, 7, 2, 0, 9, 0, 0, 0, 0, 9, 7]
han0039.krn	0	[7, 7, 7, 7, 7, 7, 9, 9, 7, 7, 5, 5, 2, 2, 0, 7, 7, 7, 7, 5, 5, 2, 0, 2, 5, 5, 5, 5, 2, 0, 9, 7]
