deut3171.krn	1	[5, 10, 10, 2, 0, 10, 0, 0, 0, 5, 9, 0, 2, 3, 3, 2, 0, 0, 2, 10, 7, 7, 7, 7, 10, 9, 7, 7, 5, 10, 2, 0, 10, 9, 9, 0, 0, 5, 5, 3, 3, 9, 0, 10, 10, 7, 7, 7, 7, 10, 9, 7, 7, 5, 10, 2, 0, 10, 9, 9, 0, 0, 5, 5, 3, 3, 9, 0, 10]
deut4376.krn	11	[8, 8, 3, 3, 0, 10, 8, 7, 5, 7, 8, 10, 10, 0, 1, 10, 10, 8, 8, 8, 3, 3, 0, 10, 8, 7, 5, 7, 8, 10, 10, 0, 1, 10, 10, 8, 8, 10, 8, 7, 8, 10, 10, 0, 10, 3, 3, 10, 0, 8, 0, 3, 3, 0, 0, 10, 8, 7, 5, 7, 8, 10, 10, 0, 1, 10, 10, 8]
deut4515.krn	0	[10, 3, 2, 3, 5, 3, 5, 7, 5, 7, 8, 10, 10, 0, 8, 7, 5, 3, 5, 7, 10, 3, 2, 3, 5, 3, 5, 7, 5, 7, 8, 10, 10, 0, 8, 7, 5, 3, 5, 7, 3, 5, 7, 7, 5, 7, 8, 7, 8, 10, 10, 8, 7, 5, 2, 3, 5, 3, 5, 7, 5, 7, 8, 7, 5, 3, 7, 8, 7, 5, 3, 2, 3, 5, 3]
deut2726.krn	10	[5, 8, 1, 5, 8, 6, 10, 10, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1, 5, 8, 1, 5, 8, 6, 10, 10, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1, 1, 5, 5, 8, 8, 6, 6, 5, 5, 3, 3, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1, 5, 8, 1, 5, 8, 6, 10, 10, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1, 1, 5, 5, 8, 8, 6, 6, 5, 5, 3, 3, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1, 5, 8, 1, 5, 8, 6, 10, 10, 8, 0, 3, 3, 6, 6, 5, 5, 3, 3, 1]
deut5008.krn	1	[5, 10, 9, 10, 0, 2, 0, 2, 2, 3, 3, 2, 0, 10, 0, 5, 10, 9, 10, 0, 2, 0, 2, 2, 3, 3, 2, 0, 10, 0, 2, 0, 2, 0, 5, 5, 7, 5, 0, 0, 2, 0, 5, 5, 7, 5, 5, 10, 10, 0, 0, 2, 3, 3, 5, 5, 3, 3, 2, 2, 0, 0, 10]
deut2591.krn	1	[5, 5, 10, 10, 10, 10, 10, 9, 9, 5, 9, 0, 0, 0, 3, 3, 2, 0, 0, 10, 10, 5, 5, 2, 0, 10, 9, 10, 2, 2, 0, 3, 3, 0, 10, 9, 7, 5, 5, 7, 9, 0, 10, 10, 3, 3, 0, 10, 9, 7, 5, 5, 7, 9, 0, 10, 10, 2, 2, 2, 0, 3, 3, 0, 0, 10, 10, 9, 5, 5, 3, 3, 2, 2, 0, 3, 3, 0, 0, 10, 10, 9, 10]
deut312.krn	11	[3, 3, 0, 1, 3, 3, 3, 3, 5, 5, 7, 7, 8, 8, 7, 7, 7, 7, 5, 5, 3, 3, 8, 8, 0, 3, 3, 8, 8, 0, 0, 10, 10, 3, 3, 0, 1, 3, 3, 3, 3, 5, 5, 7, 7, 8, 8, 7, 7, 7, 7, 5, 5, 3, 3, 8, 8, 0, 3, 3, 8, 8, 0, 0, 10, 10, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 7, 7, 3, 3, 5, 5, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 5, 5, 3, 3, 1, 0, 10, 8, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 7, 7, 3, 3, 5, 5, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 5, 5, 3, 3, 1, 0, 10, 8]
deut4997.krn	10	[1, 3, 3, 0, 1, 1, 5, 5, 3, 3, 0, 1, 1, 3, 3, 5, 5, 6, 6, 8, 8, 6, 6, 5, 5, 3, 3, 3, 3, 3, 3, 5, 5, 6, 6, 3, 3, 5, 5, 6, 6, 8, 8, 1, 5, 5, 3, 3, 1, 0, 10, 8, 1, 3, 3, 5, 5, 1, 3, 3, 1]
deut198.krn	2	[0, 5, 4, 2, 0, 0, 9, 0, 0, 10, 9, 7, 9, 5, 0, 2, 5, 2, 0, 9, 0, 2, 4, 5, 2, 0, 9, 5, 7, 9, 10, 9, 5, 4, 5, 7, 5]
deut1956.krn	2	[0, 0, 9, 0, 0, 9, 0, 2, 10, 5, 5, 2, 2, 0, 0, 9, 10, 10, 2, 9, 9, 9, 0, 9, 7, 7, 10, 4, 7, 5, 5, 0, 2, 0, 10, 9, 7, 5, 0, 0, 2, 0, 10, 9, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5]
